kernel,architecture,method,status,normal_completion,success,legal,ii,route_cost,compile_wall_seconds,routing_attempts,parent_solves,child_solves,cache_hits,cache_misses,termination,scorer_rejection_reasons,work_id,result_file
array_add,A0_hycube4x4,dual_linear,DONE,True,True,True,4,136.0,1885.2415133714676,3486,48,0,0,48,DONE,"{""UNAVAILABLE:parent native relaxation is not feasible: status='infeasible', error=''"": 3, ""UNAVAILABLE:parent native relaxation is not feasible: status='infeasible', error='no legal temporal native route edges for 10|LOAD|5|5|for.body|0|2->8|ADD|6|6|for.body|0|2'"": 1, ""UNAVAILABLE:parent native relaxation is not feasible: status='infeasible', error='no legal temporal native route edges for 7|LOAD|5|5|for.body|0|2->8|ADD|6|6|for.body|0|2'"": 2}",array_add__A0_hycube4x4__dual_linear__0__93198c90efd32685,results/remote_snapshots/20260731_flowadvantage_v2_manifest_v7_terminal/work_items/array_add__A0_hycube4x4__dual_linear__0__93198c90efd32685.json
array_cond,A1_stdnoc4x4,dual_linear,VALID_MAPPING_FAILURE,True,False,False,4,,3159.1003302149475,2299,4,0,0,4,NO_LEGAL_ACTION,"{""UNAVAILABLE:parent native relaxation is not feasible: status='user_limit', error=''"": 4}",array_cond__A1_stdnoc4x4__dual_linear__0__1eaa146f83331f4a,results/remote_snapshots/20260731_flowadvantage_v2_manifest_v7_terminal/work_items/array_cond__A1_stdnoc4x4__dual_linear__0__1eaa146f83331f4a.json
trmm,A0_hycube4x4,dual_linear,DONE,True,True,True,4,71.0,460.24611941725016,1792,21,0,0,21,DONE,{},trmm__A0_hycube4x4__dual_linear__0__e031fa63a4b02bb4,results/remote_snapshots/20260731_flowadvantage_v2_manifest_v7_terminal/work_items/trmm__A0_hycube4x4__dual_linear__0__e031fa63a4b02bb4.json
array_cond,A2_hycube4x4_mem_variant,dual_linear,VALID_MAPPING_FAILURE,True,False,False,4,,2693.678692344576,1866,4,0,0,4,NO_LEGAL_ACTION,"{""UNAVAILABLE:parent native relaxation is not feasible: status='user_limit', error=''"": 4}",array_cond__A2_hycube4x4_mem_variant__dual_linear__0__131080199e56ae8d,results/remote_snapshots/20260731_flowadvantage_v2_manifest_v7_terminal/work_items/array_cond__A2_hycube4x4_mem_variant__dual_linear__0__131080199e56ae8d.json
fix_fft,A3_hycube8x8,dual_linear,VALID_MAPPING_FAILURE,True,False,False,,,,,,,,,NO_LEGAL_ACTION,{},fix_fft__A3_hycube8x8__dual_linear__0__84b5fe55b19430a2,results/remote_snapshots/20260731_flowadvantage_v2_manifest_v7_terminal/work_items/fix_fft__A3_hycube8x8__dual_linear__0__84b5fe55b19430a2.json
hpcg,A0_hycube4x4,dual_linear,VALID_MAPPING_FAILURE,True,False,False,4,,95.08753990009427,1852,4,0,0,4,NO_LEGAL_ACTION,"{""UNAVAILABLE:parent native relaxation is not feasible: status='infeasible', error='no legal temporal native route edges for 10|ADD|3|3||0|2068->20|LS|4|4||1|2'"": 4}",hpcg__A0_hycube4x4__dual_linear__0__2200be99ed99cae5,results/remote_snapshots/20260731_flowadvantage_v2_manifest_v7_terminal/work_items/hpcg__A0_hycube4x4__dual_linear__0__2200be99ed99cae5.json
trmm,A1_stdnoc4x4,dual_linear,DONE,True,True,True,4,72.0,606.9196585007012,2027,24,0,0,24,DONE,{},trmm__A1_stdnoc4x4__dual_linear__0__fb7cec44d1ec376e,results/remote_snapshots/20260731_flowadvantage_v2_manifest_v7_terminal/work_items/trmm__A1_stdnoc4x4__dual_linear__0__fb7cec44d1ec376e.json
hpcg,A1_stdnoc4x4,dual_linear,VALID_MAPPING_FAILURE,True,False,False,5,,4591.51933972165,2347,4,0,0,4,NO_LEGAL_ACTION,"{""UNAVAILABLE:parent native relaxation is not feasible: status='user_limit', error=''"": 4}",hpcg__A1_stdnoc4x4__dual_linear__0__35ec767068c71667,results/remote_snapshots/20260731_flowadvantage_v2_manifest_v7_terminal/work_items/hpcg__A1_stdnoc4x4__dual_linear__0__35ec767068c71667.json
trmm,A2_hycube4x4_mem_variant,dual_linear,DONE,True,True,True,4,71.0,484.3555286414921,1792,21,0,0,21,DONE,{},trmm__A2_hycube4x4_mem_variant__dual_linear__0__cbbe15aeff859d6d,results/remote_snapshots/20260731_flowadvantage_v2_manifest_v7_terminal/work_items/trmm__A2_hycube4x4_mem_variant__dual_linear__0__cbbe15aeff859d6d.json
array_add,A3_hycube8x8,dual_linear,TIMEOUT,False,False,,,,,,,,,,,{},array_add__A3_hycube8x8__dual_linear__0__ff91e4acc93cdc1e,results/remote_snapshots/20260731_flowadvantage_v2_manifest_v7_terminal/work_items/array_add__A3_hycube8x8__dual_linear__0__ff91e4acc93cdc1e.json
