kernel,architecture,method,length_status,method_status,length_success,method_success,success_delta,length_route_cost,method_route_cost,length_wall_seconds,method_wall_seconds,matched_budget
array_add,A0_hycube4x4,dual_linear,VALID_MAPPING_FAILURE,DONE,False,True,1,,136.0,175.11067848200037,1885.2415133714676,False
array_cond,A0_hycube4x4,dual_linear,VALID_MAPPING_FAILURE,VALID_MAPPING_FAILURE,False,False,0,,,401.34236839301593,2673.2358345389366,False
array_cond,A1_stdnoc4x4,dual_linear,VALID_MAPPING_FAILURE,VALID_MAPPING_FAILURE,False,False,0,,,358.15694447100395,3159.1003302149475,False
array_cond,A2_hycube4x4_mem_variant,dual_linear,VALID_MAPPING_FAILURE,VALID_MAPPING_FAILURE,False,False,0,,,392.7773405860062,2693.678692344576,False
fix_fft,A3_hycube8x8,dual_linear,VALID_MAPPING_FAILURE,VALID_MAPPING_FAILURE,False,False,0,,,,,False
hpcg,A0_hycube4x4,dual_linear,VALID_MAPPING_FAILURE,VALID_MAPPING_FAILURE,False,False,0,,,299.69880209899566,95.08753990009427,False
hpcg,A1_stdnoc4x4,dual_linear,VALID_MAPPING_FAILURE,VALID_MAPPING_FAILURE,False,False,0,,,322.7074493149994,4591.51933972165,False
trmm,A0_hycube4x4,dual_linear,DONE,DONE,True,True,0,71.0,71.0,142.80370919000416,460.24611941725016,False
trmm,A1_stdnoc4x4,dual_linear,DONE,DONE,True,True,0,72.0,72.0,78.2593958159996,606.9196585007012,False
trmm,A2_hycube4x4_mem_variant,dual_linear,DONE,DONE,True,True,0,71.0,71.0,143.9348495269951,484.3555286414921,False
array_add,A0_hycube4x4,flow_proposal,VALID_MAPPING_FAILURE,VALID_MAPPING_FAILURE,False,False,0,,,175.11067848200037,354.46224039420485,False
array_cond,A0_hycube4x4,flow_proposal,VALID_MAPPING_FAILURE,VALID_MAPPING_FAILURE,False,False,0,,,401.34236839301593,105.96557384356856,False
array_cond,A1_stdnoc4x4,flow_proposal,VALID_MAPPING_FAILURE,VALID_MAPPING_FAILURE,False,False,0,,,358.15694447100395,57.55743828415871,False
array_cond,A2_hycube4x4_mem_variant,flow_proposal,VALID_MAPPING_FAILURE,VALID_MAPPING_FAILURE,False,False,0,,,392.7773405860062,106.92838745564222,False
fix_fft,A3_hycube8x8,flow_proposal,VALID_MAPPING_FAILURE,VALID_MAPPING_FAILURE,False,False,0,,,,,False
hpcg,A0_hycube4x4,flow_proposal,VALID_MAPPING_FAILURE,VALID_MAPPING_FAILURE,False,False,0,,,299.69880209899566,90.59363517165184,False
hpcg,A1_stdnoc4x4,flow_proposal,VALID_MAPPING_FAILURE,VALID_MAPPING_FAILURE,False,False,0,,,322.7074493149994,60.58108672872186,False
trmm,A0_hycube4x4,flow_proposal,DONE,DONE,True,True,0,71.0,71.0,142.80370919000416,146.36888568475842,False
trmm,A1_stdnoc4x4,flow_proposal,DONE,DONE,True,True,0,72.0,77.0,78.2593958159996,243.62838295847178,False
trmm,A2_hycube4x4_mem_variant,flow_proposal,DONE,DONE,True,True,0,71.0,71.0,143.9348495269951,150.5989178828895,False
array_add,A0_hycube4x4,flow_top4,VALID_MAPPING_FAILURE,DONE,False,True,1,,132.0,175.11067848200037,3973.9877644628286,False
array_cond,A0_hycube4x4,flow_top4,VALID_MAPPING_FAILURE,VALID_MAPPING_FAILURE,False,False,0,,,401.34236839301593,109.09503941610456,False
array_cond,A1_stdnoc4x4,flow_top4,VALID_MAPPING_FAILURE,VALID_MAPPING_FAILURE,False,False,0,,,358.15694447100395,57.30151113495231,False
array_cond,A2_hycube4x4_mem_variant,flow_top4,VALID_MAPPING_FAILURE,VALID_MAPPING_FAILURE,False,False,0,,,392.7773405860062,106.09685911238194,False
fix_fft,A3_hycube8x8,flow_top4,VALID_MAPPING_FAILURE,VALID_MAPPING_FAILURE,False,False,0,,,,,False
hpcg,A0_hycube4x4,flow_top4,VALID_MAPPING_FAILURE,VALID_MAPPING_FAILURE,False,False,0,,,299.69880209899566,91.55612811073661,False
hpcg,A1_stdnoc4x4,flow_top4,VALID_MAPPING_FAILURE,VALID_MAPPING_FAILURE,False,False,0,,,322.7074493149994,60.767801217734814,False
trmm,A0_hycube4x4,flow_top4,DONE,DONE,True,True,0,71.0,71.0,142.80370919000416,958.5981181561947,False
trmm,A1_stdnoc4x4,flow_top4,DONE,DONE,True,True,0,72.0,72.0,78.2593958159996,1022.4811851941049,False
trmm,A2_hycube4x4_mem_variant,flow_top4,DONE,DONE,True,True,0,71.0,71.0,143.9348495269951,1002.8135183304548,False
