case,dfg_transform,architecture_transform,reason,dfg_transform_name,architecture_transform_name
tied_priority,0,3,architecture_semantics_not_preserved,identity,transpose_xy
tied_priority,0,4,architecture_semantics_not_preserved,identity,rotate_modulo_time
tied_priority,1,0,total_operation_order_not_preserved,swap_tied_operations,identity
tied_priority,1,1,total_operation_order_not_preserved,swap_tied_operations,reflect_y
tied_priority,1,2,total_operation_order_not_preserved,swap_tied_operations,reflect_x
tied_priority,1,3,total_operation_order_not_preserved,swap_tied_operations,transpose_xy
tied_priority,1,4,total_operation_order_not_preserved,swap_tied_operations,rotate_modulo_time
recurrence,0,3,architecture_semantics_not_preserved,identity,transpose_xy
recurrence,0,4,architecture_semantics_not_preserved,identity,rotate_modulo_time
memory,0,2,architecture_semantics_not_preserved,identity,reflect_x
memory,0,3,architecture_semantics_not_preserved,identity,transpose_xy
memory,0,4,architecture_semantics_not_preserved,identity,rotate_modulo_time
